Year,Month,District,PM2.5_mean,PM10_mean,O3_mean,NO2_mean,SO2_mean,CO_mean,AQI_Good_Rate_pct
2025,5,Jiading,27.8,78.2,178.0,29.4,5.9,0.8,74.2
2025,5,Jing'an,26.1,77.6,183.0,21.8,5.4,0.6,77.4
2025,5,Jinshan,27.1,75.8,170.0,18.1,4.9,0.7,74.2
2025,5,Minhang,29.1,78.6,178.0,22.3,4.6,0.7,80.6
2025,5,Pudong,26.0,79.4,177.0,20.9,6.7,0.9,77.4
2025,5,Putuo,27.4,77.4,177.0,25.7,5.5,0.6,77.4
2025,5,Qingpu,27.3,78.0,172.0,25.7,6.7,0.7,80.6
2025,5,Songjiang,28.1,86.1,184.0,24.3,5.6,0.7,67.7
2025,5,Xuhui,28.7,77.7,169.0,27.1,4.1,0.7,83.9
2025,5,Yangpu,25.4,76.5,177.0,26.3,6.1,0.7,80.6
2025,4,Baoshan,36.0,93.8,176.0,40.7,7.7,0.8,76.7
2025,4,Changning,34.0,92.2,182.0,33.1,7.1,0.9,70.0
2025,4,Chongming,31.5,86.1,167.0,24.4,4.6,0.6,80.0
2025,4,Fengxian,37.2,90.0,174.0,28.3,4.7,0.7,76.7
2025,4,Hongkou,34.5,90.4,168.0,29.1,8.3,0.8,80.0
2025,4,Huangpu,36.3,97.1,178.0,32.3,6.0,0.8,70.0
2025,4,Jiading,36.9,95.0,175.0,40.8,6.6,0.8,76.7
2025,4,Jing'an,34.9,94.4,176.0,30.9,6.2,0.7,70.0
2025,4,Jinshan,34.7,94.7,173.0,25.9,5.4,0.7,76.7
2025,4,Minhang,36.4,93.5,182.0,33.1,4.9,0.8,70.0
2025,4,Pudong,34.2,95.4,174.0,30.4,6.8,0.8,80.0
2025,4,Putuo,36.1,94.3,177.0,33.3,6.3,0.8,70.0
2025,4,Qingpu,36.4,93.0,175.0,35.3,7.0,0.7,60.0
2025,4,Songjiang,37.4,97.3,185.0,32.0,6.3,0.7,53.3
2025,4,Xuhui,36.6,93.1,165.0,37.4,5.6,0.8,83.3
2025,4,Yangpu,34.3,90.2,170.0,35.5,7.5,0.9,76.7
2025,3,Baoshan,28.0,90.0,145.0,41.9,7.0,0.7,93.5
2025,3,Changning,28.0,88.0,152.0,37.1,5.6,0.8,96.8
2025,3,Chongming,24.0,85.0,140.0,25.6,5.0,0.5,96.8
2025,3,Fengxian,28.0,87.0,158.0,28.8,4.7,0.6,90.3
2025,3,Hongkou,27.0,89.0,146.0,35.4,7.7,0.7,96.8
2025,3,Huangpu,30.0,91.0,150.0,33.6,5.2,0.7,96.8
2025,3,Jiading,30.0,92.0,141.0,42.4,7.0,0.6,90.3
2025,3,Jing'an,28.0,89.0,149.0,32.2,5.5,0.6,96.8
2025,3,Jinshan,29.0,89.0,158.0,30.5,5.7,0.7,90.3
2025,3,Minhang,30.0,90.0,151.0,37.5,4.5,0.8,96.7
2025,3,Pudong,26.0,90.0,154.0,33.8,6.6,0.8,90.3
2025,3,Putuo,29.0,88.0,144.0,37.0,6.4,0.7,96.8
2025,3,Qingpu,33.0,89.0,148.0,39.9,5.5,0.6,93.5
2025,3,Songjiang,30.0,93.0,157.0,34.8,5.5,0.6,93.5
2025,3,Xuhui,30.0,91.0,144.0,38.5,5.3,0.7,96.8
2025,3,Yangpu,28.0,88.0,150.0,38.1,6.7,0.7,96.8
2025,2,Baoshan,41.0,109.0,99.0,35.2,7.1,1.0,89.3
2025,2,Changning,38.0,105.0,101.0,32.1,5.6,1.0,89.3
